FRR	FAR
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
0.049	0.234
